bat_t0,bat_t1,bat_t2,bat_t3,bat_t4,bat_t5,riot_sum,prot_sum,expl_sum,viol_sum,strat_sum,prevalenceUndernourishment,"Death rate, crude (per 1,000 people)",GDP per Capita,Military expenditure (% of GDP),prevalenceUndernourishment_y2,"Death rate, crude (per 1,000 people)_y2",GDP per Capita_y2,Military expenditure (% of GDP)_y2,rfc,iso3,date
1.0,2.0,1.0,2.0,0.0,0.0,140.0,488.0,15.0,8.0,21.0,4.3,6.274,3447.5079097555104,2.08983075733882,4.3,6.274,3482.18672918633,2.13072175216751,0.008,TUN,2019-01-01
1.0,2.0,3.0,0.0,2.0,0.0,34.0,307.0,6.0,17.0,59.0,3.9,4.717,4114.71506136896,5.27141404556567,3.9,4.717,4044.2983722652293,6.014253329225941,0.048,DZA,2019-01-01
14.0,6.0,19.0,15.0,9.0,29.0,14.0,16.0,2.0,71.0,47.0,59.6,12.671,475.721250544318,1.40860967195269,59.6,12.671,449.78642351042396,1.4355130553548998,0.831,CAF,2019-01-01
3.0,20.0,6.0,18.0,8.0,11.0,28.0,119.0,5.0,100.0,55.0,20.6,6.691,772.313530261357,0.6419202927722609,20.6,6.691,768.425025531532,0.6766622111845191,0.099,ETH,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6,1.429,43004.9533584848,0.715614876802068,2.6,1.429,39811.634701762996,6.3362345935697855,0.012,ARE,2019-01-01
346.0,336.0,291.0,268.0,291.0,243.0,52.0,192.0,3143.0,926.0,198.0,6.35,5.227,21953.248614845583,0.789309460831875,16.466666666666665,8.425333333333333,806.6461091179452,2.4329924395467466,0.935,YEM,2019-01-01
1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,10.1,9.025,901.5438712063569,0.863004044861682,10.1,9.025,829.478802783315,1.2641029660741598,0.0,BEN,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.25,7.4295,4580.092768476634,1.822662999414906,22.666666666666664,7.2570000000000014,1695.216958271246,2.2948096830982765,0.013,GMB,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,26.4,5.834,8258.641665746909,2.78232195396813,26.4,5.834,7893.210107711159,3.0216559053007,0.0,BWA,2019-01-01
5.0,12.0,3.0,3.0,1.0,2.0,6.0,13.0,6.0,38.0,30.0,16.5,8.529,413.980304962089,2.45284928450267,16.5,8.529,375.869489673522,2.47355475012656,0.341,NER,2019-01-01
1.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,1.0,13.0,4.0,25.0,8.432,3432.38573600893,1.77713755353982,25.0,8.432,4095.8129415585704,2.4211128376509703,0.024,AGO,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.9,7.292999999999999,3082.5430987195696,3.6880710661508296,18.9,7.292999999999999,2930.7031716534198,3.6880710661508296,0.038,DJI,2019-01-01
4.0,3.0,4.0,2.0,1.0,0.0,17.0,21.0,0.0,15.0,4.0,5.5,7.414,2202.31216442504,0.41391681686450804,5.5,7.414,2025.8858571313299,0.40171884320713297,0.008,GHA,2019-01-01
31.0,23.0,12.0,49.0,33.0,16.0,5.0,7.0,8.0,156.0,46.0,17.25,10.574000000000002,1119.65133182314,1.32920833296659,22.85,10.574000000000002,1119.65133182314,2.35286936717433,0.898,SSD,2019-01-01
56.0,41.0,61.0,60.0,67.0,83.0,29.0,153.0,822.0,140.0,58.0,29.0,4.8260000000000005,5834.166210760611,2.72652780753896,29.0,4.8260000000000005,5205.28825481948,3.8386612850878197,0.964,IRQ,2019-01-01
67.0,51.0,41.0,32.0,31.0,43.0,100.0,181.0,49.0,188.0,58.0,13.4,12.114,2028.1819701759803,0.506584947663024,13.4,12.114,1968.5595883057501,0.430671213892571,0.219,NGA,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,2.0,0.0,17.5,6.811,389.398033178836,0.8461269383180899,17.5,6.811,356.71757315336896,0.762728731361402,0.001,MWI,2019-01-01
22.0,8.0,1.0,2.0,1.0,1.0,14.0,6.0,0.0,12.0,6.0,44.4,6.185,527.501285041282,0.602150651051468,44.4,6.185,515.292738970352,0.580022350808989,0.206,MDG,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,28.0,9.805,777.969921802522,1.6371683692577401,28.0,9.805,736.725566231783,1.6371683692577401,0.0,GNB,2019-01-01
8.0,9.0,9.0,6.0,6.0,5.0,443.0,153.0,140.0,110.0,157.0,16.866666666666667,7.164999999999999,1273.9590100767805,1.7819426246410666,17.43333333333333,5.550000000000002,2929.018822421903,3.5679767141579832,0.643,PSE,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,0.0,3.0,2.0,11.3,5.845,1521.95355421391,1.85432975233273,11.3,5.845,1367.2189480228399,1.88634136843828,0.0,SEN,2019-01-01
1.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,0.0,4.0,2.0,46.7,6.632999999999999,1539.9001577990698,1.40095005931668,46.7,6.632999999999999,1534.86537052245,1.3051997513476201,0.0,ZMB,2019-01-01
12.0,5.0,10.0,10.0,12.0,3.0,35.0,210.0,13.0,125.0,31.0,20.1,7.261,977.273635724417,2.27830187334924,20.1,7.261,3015.02442975186,3.910878363484,0.15,SDN,2019-01-01
23.0,31.0,16.0,14.0,5.0,14.0,6.0,51.0,161.0,71.0,23.0,20.05,7.801,846.1982698852785,2.1687437746600446,26.63333333333333,6.866666666666666,784.7802418343666,1.8540771897869432,0.715,EGY,2019-01-01
9.0,11.0,15.0,9.0,9.0,8.0,23.0,90.0,18.0,83.0,54.0,20.0,8.341000000000001,715.12290404614,2.05918567597085,20.0,8.341000000000001,642.429838650148,1.42725841123202,0.137,BFA,2019-01-01
1.0,0.0,1.0,0.0,0.0,1.0,28.0,52.0,0.0,10.0,3.0,16.5,8.715,878.599613250501,2.46740138641465,16.5,8.715,855.573639877367,2.7083201064926805,0.0,GIN,2019-01-01
2.0,9.0,16.0,9.0,24.0,2.0,48.0,68.0,12.0,84.0,15.0,29.4,5.582000000000001,1710.51009699405,1.2204249864536498,29.4,5.582000000000001,1568.2015406641299,1.28737427114205,0.126,KEN,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.9,9.542,10261.7600116887,0.17916867981852397,35.0,9.542,9738.43422416926,0.17916867981852397,0.0,GNQ,2019-01-01
21.0,26.0,34.0,62.0,61.0,77.0,11.0,487.0,60.0,70.0,57.0,28.4,9.253,5380.358615948677,0.5866369386274675,40.95,9.247,589.798027348305,1.4093058887460397,0.503,TUR,2019-01-01
0.0,3.0,0.0,1.0,2.0,2.0,16.0,9.0,1.0,33.0,9.0,27.9,8.964,498.95722020865196,0.9941051974364109,27.9,8.964,461.415094120589,1.02164265203857,0.004,MOZ,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.8,2.4619999999999997,16415.157278098897,8.17129950109292,6.8,2.4619999999999997,15130.4978264405,9.55980559876077,0.0,OMN,2019-01-01
0.0,1.0,2.0,0.0,1.0,1.0,3.0,5.0,0.0,7.0,4.0,30.7,6.622000000000001,1050.6752537984598,1.2118635133876001,30.7,6.622000000000001,1004.8411206644099,1.1793767853612,0.0,TZA,2019-01-01
1.0,1.0,1.0,1.0,0.0,0.0,24.0,23.0,0.0,11.0,5.0,28.15,9.3125,792.3332190286981,1.0047476381780989,8.533333333333333,6.603,20417.429860696404,3.151608043200665,0.016,CIV,2019-01-01
2.0,0.0,1.0,1.0,0.0,0.0,8.0,9.0,0.0,2.0,2.0,25.6,12.003,533.991184258936,0.7976317629685981,25.6,12.003,499.38070781976,1.11400432490446,0.002,SLE,2019-01-01
2.0,0.0,1.0,1.0,0.0,0.0,33.0,32.0,0.0,38.0,17.0,51.3,8.044,2146.99638487707,2.16960636324343,51.3,8.044,1602.40350699048,1.9301341465608999,0.003,ZWE,2019-01-01
84.0,76.0,76.0,78.0,92.0,103.0,21.0,50.0,308.0,337.0,99.0,28.75,11.062000000000001,314.544165670763,1.5756580423367663,9.95,11.062000000000001,309.055354770056,2.946673371640395,1.0,SOM,2019-01-01
1.0,0.0,0.0,1.0,0.0,1.0,194.0,314.0,0.0,13.0,10.0,6.2,9.498,6374.02819575944,0.981709721430103,6.2,9.498,6132.4798409721,1.04366339589233,0.001,ZAF,2019-01-01
0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,36.8,5.308,772.944459929187,1.2318198553324098,36.8,5.308,762.914374550788,1.27516194002714,0.007,RWA,2019-01-01
